雇主id,雇主名字,provice_name,city_name,订单内容,成交金额,经度,纬度
21902076,m_0018_461q4z,四川,阿坝藏族羌族自治州,折页设计DM单设计三折页设计宣传页设计宣传广告设计菜单设计,450,102.36499,30.99934
21948182,m_1648_bwilya,四川,阿坝藏族羌族自治州,网站定制开发,600,104.065735,30.659462
21345168,m_6654_85d7bv,内蒙古,阿拉善盟,刘先生美妆行业LOGO设计,2500,105.706422,38.844814
21664488,t_7554_gAr7xg,内蒙古,阿拉善盟,阿拉善左旗文化旅游LOGO设计,300,105.706422,38.844814
15921802,m_7332_a64nj8,陕西,安康,【九千国际】高端SI店面设计店铺设计专卖店设计室内装修设计,95,108.948024,34.263161
21898717,m_2175_hzwgj2,陕西,安康,logo设计标志设计包装vi图文图形商标品牌,988,108.948024,34.263161
21929644,m_5693_g7c035,河南,安阳,我需要家装设计,500,113.665412,34.757975
10965606,Deronintl,河南,安阳,需要品牌起名,300,119.647421,29.079164
21996361,t_6541bns0ly,辽宁,鞍山,app定制开发软件APP制作原生开发产品设计【实体团队】,500,122.994646,41.108546
21978115,t_7946kutr5k,辽宁,鞍山,【总监操刀】微信微博原创、公众号创意营销文案策划、新媒体文案,200,122.994646,41.108546
7718116,we7845781_@Zbj,辽宁,鞍山,PS图片处理P图详情页美工抠图去水印改字修图主图海报图片设计,300,122.994646,41.108546
11722968,微易微信营销,内蒙古,巴彦淖尔,微信代运营公众号文案原创微信文章写作公众号代运营微博文章撰写,2500,121.614677,38.914024
20190103,t_5041vsvlr2,四川,巴中,【高端定制】三折页设计四折页设计画册设计宣传页册设计宣传广告,500,106.744729,31.865236
21548129,t_9277Pcaotg,广西,百色,【威威3套方案】品牌logo设计详情页设计设计标志设计,308,108.320004,22.82402
21548129,t_9277Pcaotg,广西,百色,超市百货效果图设计便利店装修设计水果店室内装修店铺室内设计,1590,108.320004,22.82402
14234239,m_22279cexaa,安徽,蚌埠,一元就送广告语/活动期间到你手软/,1,117.31558,33.31803
21925025,m_3261_fdq3ys,安徽,蚌埠,我需要logo,100,117.31558,33.31803
21892095,m_2559_5ey27t,内蒙古,包头,【雷鹰团队】公司取名字 品牌起名字 企业商标 产品店铺命名字,600,109.840405,40.658168
223065,追梦人-加油,内蒙古,包头,logo设计图文企业餐饮服饰金融科技门店品牌LOGO图形标志,298,109.840405,40.658168
