,雇主id,雇主名字,provice_name,city_name,订单内容,成交金额,经度,纬度
1088,21952244,t_8033_tpsoyl,山东,聊城,【以太文化】LOGO设计企业公司产品品牌标志商标设计餐饮卡通,399,115.9167,36.4032
1089,22019087,t_5426hnaleg,福建,福州,后端开发网站后台程序开发借口开发数据库开发【实体团队】,11,119.4543,25.9222
1090,9926901,易灵20131,江苏,镇江,我需要网站定制开发,600,119.4763,31.9702
1091,9766452,瑞宝gg,四川,成都,【电子家电零售百货】公司品牌门店产品餐饮影视食品logo设计,1000,103.9526,30.7617
1092,21809621,t_2798_rcufbp,辽宁,营口,吕固建材需要LOGO设计,300,122.4316,40.4297
1093,9449201,苏菲点心,北京,北京,【不满全退】公司LOGO企业logo标志设计vi设计商标设计,300,116.4551,40.2539
1094,21972908,m_3878_7iequq,山东,日照,南京周易卦馆六爻卜卦～感情婚姻/财运事业/求职择业/学业考试,80,119.2786,35.5023
1095,21715293,t_7639_ufq3sl,陕西,西安,【艺点资深logo设计】商标logo设计品牌LOGO设计标志,1000,109.1162,34.2004
1096,21041718,t_1035qwmd7u,重庆,重庆,我需要商业计划,4000,107.7539,30.1904
1097,21814057,t_2804_weiq6s,广东,广州,洗发水包装设计,1500,113.5107,23.2196
1098,20165640,小何my,北京,北京,易象公司logo设计标志设计餐饮LOGO企业字体图形设计商标,300,116.4551,40.2539
1099,21954381,m_0620_khb3gu,上海,上海,我需要logo,260,121.4648,31.2891
1100,20211623,t_0599oxg61z,浙江,杭州,LOGO设计/商标设计/卡通logo/字体设计/企业logo,500,119.5313,29.8773
1101,21950247,t_6305iadx7e,湖南,长沙,烘焙店LOGO设计,388,113.0823,28.2568
1102,21770864,m_1834_db7awn,江苏,扬州,民宿设计 别墅设计 私人房  乡村房 农家乐,999.9,119.4653,32.8162
1103,14421910,立鼎科技,重庆,重庆,【画册设计-】教育培训画册设计 企业宣传册设计 封面封底设计,1600,107.7539,30.1904
1104,21971347,m_6659_usnd2y,江苏,南京,南京周易卦馆六爻卜卦～感情婚姻/财运事业/求职择业/学业考试,80,118.8062,31.9208
1105,21925382,m_1774_s88mp8,河南,郑州,微信支付服务商申请服务商开发能力说明文档服务简述,288,113.4668,34.6234
1106,21960048,m_1384_ty0nic,北京,北京,企业画册产品手册宣传册宣传画册产品画册招商手册ppt文案设计,2400,116.4551,40.2539
1107,21766520,m_0608_agz4xp,广东,深圳,烟草行业企业官网,5700,114.5435,22.5439
1108,15953449,快手网络科技有限公司,湖南,长沙,3-10天！百度下拉框 相关搜索词***优化排名******,360,113.0823,28.2568
1109,11198777,信仰_2013,广东,佛山,服务咨询logo,500,112.8955,23.1097
1110,21506523,m_2179_xcs0sz,北京,北京,商业计划书BP融资路演PPT设计 项目计划书北京可行性研究报,10,116.4551,40.2539
1111,19526692,钮扣信息科技,江苏,常州,【新用户福利】我需要商城小程序服务,0.01,119.4543,31.5582
1112,10839280,屏海临风,广东,深圳,公司取英文名，并设计英文LOGO,400,114.5435,22.5439
1113,21831337,m_3811_1by9x4,上海,上海,宣传单设计  DM设计  传单设计 广告设计,800,121.4648,31.2891
1114,18332595,大伟9247,北京,北京,【原创不满意退款】公司logo品牌企业标志产品商标LOGO,988.02,116.4551,40.2539
1115,21996997,m_1222_yuaq00,海南,琼海,卡通logo包装标志海报宣传单折页LOGO商标易拉宝名片设计,599,110.4208,19.224
1116,21886608,m_9494_qsbzfw,河南,焦作,产品的图文LOGO,500,112.8406,35.1508
1117,12227394,webzhang4677,北京,北京,品牌整合营销全案口碑营销策划执行新媒体整合营销策划,900,116.4551,40.2539
1118,21945494,m_5912_rgjfe0,广东,东莞,LOGO设计,1000,113.8953,22.901
1119,21895245,m_0220_gov049,山东,潍坊,公司企业LOGO设计平面餐饮门店logo图形标志品牌商标设计,999,119.0918,36.524
1120,12800509,郝建栋,北京,北京,爆款详情页设计淘宝美工网店装修美工包月外包宝贝页面描述制作,500,116.4551,40.2539
1121,21264024,t_2598KXeizq,广东,深圳,包装设计食品包装茶叶包装大米包装礼盒设计水果包装,1000,114.5435,22.5439
1122,21845192,m_8704_lw8yw8,上海,上海,logo设计商标设计字体图标图文英文品牌logo设计包满意,255.41,121.4648,31.2891
1123,14082956,可爱的郭少,北京,北京,【新用户福利】我需要企业抖音号代认证服务,0.1,116.4551,40.2539
1124,14423837,张大帅帅,上海,上海,漫画 四格漫画 商业插画  绘画 油画 插画  产品包装插画,500,121.4648,31.2891
1125,14078380,levin2015,广东,深圳,保证满意！保证注册！品牌起名 公司起名 产品起名,700,114.5435,22.5439
1126,14503990,t_7233sw3ptz,浙江,杭州,淘宝京东拼多多图片拍摄产品拍摄网店拍照静物产品摄影电商产品,200,119.5313,29.8773
1127,21797572,m_4238_mibilr,江西,萍乡,食品饮料餐饮金融地产vi系统设计包装袋包装盒设计,2400,113.9282,27.4823
1128,8142672,liuhengwei_@Zbj,重庆,重庆,我需要门户网站,2000,107.7539,30.1904
1129,21457983,m_6044_x54aad,北京,北京,网站网页设计界面ui设计UI企业官方网站前端html制作响应,2300,116.4551,40.2539
1130,19806920,t_6973fg58rg,重庆,重庆,我需要商品起名,680,107.7539,30.1904
1131,21973763,偶尔心乱,重庆,重庆,【新用户福利】我需要2019全年H5互动营销服务,0.1,107.7539,30.1904
1132,22001354,m_8970_e5urn8,湖北,武汉,我需要ppt设计,260,114.3896,30.6628
1133,21822160,m_3416_lkm0km,宁夏,固原,包装设计包装盒设计包装袋设计标签设计礼盒包装设计不干胶,3000,106.1389,35.9363
1134,21962191,m_6800_13d2dj,江西,南昌,引力资深画册/宣传画册/企业画册/产品画册/书刊/ppt设计,130,116.0046,28.6633
